Canada, Death rates (period 1x1), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1922         101             0.345581        0.586386        0.450928
  1922         102             0.358297        0.660970        0.491648
  1922         103             0.370652        0.761251        0.542585
  1922         104             0.404804        0.929050        0.636435
  1922         105             0.495690        1.157038        0.805799
  1922         106             0.774566        1.558442        1.200000
  1922         107             0.000000        2.360294        1.818697
  1922         108                   .        4.158416        4.158416
  1922         109                   .              .              .
  1922         110+                  .              .              .
  1923           0             0.102478        0.135017        0.118863
  1923           1             0.018244        0.020317        0.019289
  1923           2             0.007532        0.008420        0.007981
  1923           3             0.005004        0.005819        0.005416
  1923           4             0.004021        0.004072        0.004047
  1923           5             0.003051        0.003340        0.003197
  1923           6             0.002771        0.003115        0.002945
  1923           7             0.002556        0.002565        0.002560
  1923           8             0.002271        0.002433        0.002353
  1923           9             0.002274        0.002085        0.002179
  1923          10             0.001892        0.001956        0.001925
  1923          11             0.001565        0.002096        0.001832
  1923          12             0.001865        0.002135        0.002001
  1923          13             0.001952        0.001972        0.001962
  1923          14             0.002168        0.002413        0.002291
  1923          15             0.002307        0.002554        0.002431
  1923          16             0.003124        0.002942        0.003033
  1923          17             0.003073        0.002976        0.003024
  1923          18             0.003129        0.003637        0.003383
  1923          19             0.003466        0.003612        0.003539
  1923          20             0.003917        0.003461        0.003691
  1923          21             0.003835        0.004050        0.003941
  1923          22             0.004366        0.003725        0.004051
  1923          23             0.004232        0.003974        0.004105
  1923          24             0.004054        0.003390        0.003727
  1923          25             0.004220        0.003641        0.003933
  1923          26             0.004340        0.003827        0.004085
  1923          27             0.004390        0.003774        0.004083
  1923          28             0.004716        0.004657        0.004686
  1923          29             0.004273        0.004196        0.004234
  1923          30             0.004796        0.004330        0.004559
  1923          31             0.003827        0.003511        0.003665
  1923          32             0.005166        0.004557        0.004852
  1923          33             0.005229        0.003724        0.004446
  1923          34             0.004494        0.003995        0.004233
  1923          35             0.005750        0.005154        0.005435
  1923          36             0.005427        0.004155        0.004751
  1923          37             0.005396        0.004495        0.004914
  1923          38             0.006235        0.005451        0.005814
  1923          39             0.006520        0.005194        0.005808
  1923          40             0.006355        0.006245        0.006296
  1923          41             0.005355        0.004837        0.005076
  1923          42             0.007096        0.006661        0.006862
  1923          43             0.006665        0.006629        0.006645
  1923          44             0.006057        0.005913        0.005979
  1923          45             0.007429        0.007211        0.007311
  1923          46             0.007390        0.006388        0.006849
  1923          47             0.007161        0.006712        0.006918
  1923          48             0.008282        0.008183        0.008229
  1923          49             0.008526        0.008633        0.008584
  1923          50             0.009689        0.009207        0.009429
  1923          51             0.008456        0.008583        0.008525
  1923          52             0.010740        0.010605        0.010667
  1923          53             0.010968        0.011757        0.011392
  1923          54             0.010644        0.012026        0.011382
  1923          55             0.012719        0.014863        0.013856
  1923          56             0.012968        0.015312        0.014201
  1923          57             0.015214        0.015929        0.015588
  1923          58             0.017026        0.019292        0.018210
  1923          59             0.016010        0.018725        0.017434
  1923          60             0.018855        0.022764        0.020912
  1923          61             0.017151        0.019331        0.018303
  1923          62             0.023224        0.024295        0.023791
  1923          63             0.025382        0.027229        0.026360
  1923          64             0.025568        0.027174        0.026415
  1923          65             0.031651        0.033251        0.032494
  1923          66             0.030513        0.034324        0.032515
  1923          67             0.033234        0.037922        0.035691
  1923          68             0.043111        0.043666        0.043401
  1923          69             0.041765        0.046871        0.044427
  1923          70             0.048732        0.049993        0.049387
  1923          71             0.041725        0.045055        0.043449
  1923          72             0.058711        0.063616        0.061240
  1923          73             0.064207        0.072322        0.068374
  1923          74             0.067044        0.069925        0.068517
  1923          75             0.081642        0.081771        0.081708
  1923          76             0.084740        0.086032        0.085393
  1923          77             0.087408        0.090662        0.089044
  1923          78             0.113979        0.109186        0.111584
  1923          79             0.101651        0.108921        0.105259
  1923          80             0.116890        0.133000        0.124481
  1923          81             0.108386        0.108845        0.108601
  1923          82             0.130976        0.145921        0.137927
  1923          83             0.136957        0.171209        0.152755
  1923          84             0.152918        0.175419        0.163188
  1923          85             0.176491        0.195553        0.185164
  1923          86             0.186829        0.231675        0.207048
  1923          87             0.203343        0.231302        0.215592
  1923          88             0.213848        0.239829        0.224930
  1923          89             0.220193        0.251216        0.233328
  1923          90             0.256966        0.286474        0.269429
  1923          91             0.206276        0.225305        0.214298
  1923          92             0.260349        0.326717        0.287677
  1923          93             0.304175        0.256488        0.285000
  1923          94             0.338310        0.343419        0.340461
  1923          95             0.333073        0.329538        0.331561
  1923          96             0.384417        0.285483        0.343589
  1923          97             0.217054        0.351851        0.271731
  1923          98             0.408137        0.456702        0.427172
  1923          99             0.345385        0.365840        0.353554
  1923         100             0.427929        0.430424        0.428991
  1923         101             0.446273        0.466026        0.454570
  1923         102             0.468246        0.517420        0.487859
  1923         103             0.496165        0.586400        0.531229
  1923         104             0.523039        0.702644        0.588746
  1923         105             0.603839        0.992857        0.731536
  1923         106             0.873786        1.771812        1.136408
  1923         107             1.978723        6.000000        2.532110
  1923         108                   .              .              .
  1923         109                   .              .              .
  1923         110+                  .              .              .
  1924           0             0.094022        0.121907        0.108018
  1924           1             0.014271        0.016601        0.015444
  1924           2             0.006310        0.007343        0.006831
  1924           3             0.004729        0.005243        0.004989
  1924           4             0.003757        0.004086        0.003923
  1924           5             0.002823        0.003107        0.002967
  1924           6             0.002696        0.002431        0.002562
  1924           7             0.002199        0.002525        0.002364
  1924           8             0.002143        0.002225        0.002184
  1924           9             0.001903        0.002188        0.002047
  1924          10             0.001840        0.002049        0.001945
  1924          11             0.001757        0.001986        0.001872
  1924          12             0.001805        0.002051        0.001928
  1924          13             0.002161        0.001983        0.002072
  1924          14             0.002066        0.002052        0.002059
  1924          15             0.002271        0.002334        0.002302
  1924          16             0.002620        0.002586        0.002603
  1924          17             0.002643        0.002792        0.002718
  1924          18             0.003248        0.003214        0.003231
  1924          19             0.003364        0.003414        0.003389
  1924          20             0.003315        0.003523        0.003418
  1924          21             0.003860        0.003356        0.003611
  1924          22             0.004079        0.003367        0.003729
  1924          23             0.004369        0.003927        0.004152
  1924          24             0.004001        0.003799        0.003901
  1924          25             0.003734        0.003477        0.003607
  1924          26             0.004066        0.003289        0.003682
  1924          27             0.004227        0.003347        0.003791
  1924          28             0.004306        0.003927        0.004117
  1924          29             0.004045        0.003422        0.003732
  1924          30             0.004279        0.004099        0.004188
  1924          31             0.004210        0.003310        0.003753
  1924          32             0.005060        0.003783        0.004406
  1924          33             0.004429        0.003355        0.003875
  1924          34             0.004366        0.003928        0.004138
  1924          35             0.005257        0.004862        0.005050
  1924          36             0.005372        0.004035        0.004666
  1924          37             0.004731        0.003915        0.004297
  1924          38             0.006262        0.004929        0.005550
  1924          39             0.005419        0.004865        0.005123
  1924          40             0.005812        0.006059        0.005944
  1924          41             0.005066        0.004640        0.004837
  1924          42             0.007013        0.006227        0.006590
  1924          43             0.006324        0.005784        0.006033
  1924          44             0.005755        0.005689        0.005719
  1924          45             0.006546        0.006968        0.006773
  1924          46             0.006442        0.006511        0.006479
  1924          47             0.007099        0.006555        0.006807
  1924          48             0.007651        0.008130        0.007908
  1924          49             0.008162        0.008122        0.008140
  1924          50             0.008912        0.009328        0.009136
  1924          51             0.007939        0.007293        0.007590
  1924          52             0.011596        0.010668        0.011096
  1924          53             0.009885        0.010742        0.010344
  1924          54             0.010988        0.011658        0.011345
  1924          55             0.011183        0.012913        0.012097
  1924          56             0.011935        0.014248        0.013145
  1924          57             0.012341        0.014240        0.013327
  1924          58             0.015300        0.016581        0.015966
  1924          59             0.014973        0.016851        0.015953
  1924          60             0.018642        0.021481        0.020131
  1924          61             0.016436        0.017444        0.016967
  1924          62             0.019727        0.022920        0.021415
  1924          63             0.023336        0.024867        0.024146
  1924          64             0.024940        0.027588        0.026336
  1924          65             0.029381        0.032460        0.031001
  1924          66             0.028176        0.032920        0.030665
  1924          67             0.032051        0.035406        0.033807
  1924          68             0.039796        0.041671        0.040775
  1924          69             0.037529        0.043736        0.040760
  1924          70             0.046059        0.049694        0.047945
  1924          71             0.038676        0.045386        0.042143
  1924          72             0.054793        0.056154        0.055493
  1924          73             0.055939        0.060285        0.058167
  1924          74             0.063230        0.071767        0.067593
  1924          75             0.069485        0.079937        0.074808
  1924          76             0.078468        0.087604        0.083103
  1924          77             0.077697        0.080388        0.079056
  1924          78             0.090913        0.103431        0.097196
  1924          79             0.093479        0.100094        0.096774
  1924          80             0.106370        0.120820        0.113143
  1924          81             0.086582        0.111265        0.098126
  1924          82             0.119355        0.141124        0.129465
  1924          83             0.114894        0.150578        0.131258
  1924          84             0.148429        0.175148        0.160551
  1924          85             0.161973        0.170470        0.165808
  1924          86             0.186224        0.197787        0.191429
  1924          87             0.186477        0.202173        0.193461
  1924          88             0.199918        0.219081        0.208207
  1924          89             0.191776        0.233913        0.209424
  1924          90             0.229133        0.291475        0.254887
  1924          91             0.235473        0.203568        0.222162
  1924          92             0.265617        0.299600        0.279820
  1924          93             0.278977        0.284851        0.281366
  1924          94             0.258361        0.290282        0.271177
  1924          95             0.315854        0.341654        0.326640
  1924          96             0.288245        0.296405        0.291782
  1924          97             0.322029        0.413028        0.358935
  1924          98             0.406124        0.442930        0.420292
  1924          99             0.403349        0.224884        0.332914
  1924         100             0.420619        0.378333        0.403115
  1924         101             0.453737        0.390383        0.426386
  1924         102             0.487344        0.414817        0.456555
  1924         103             0.530306        0.455803        0.500564
  1924         104             0.588686        0.520392        0.562574
  1924         105             0.652971        0.668108        0.658107
  1924         106             0.878571        1.430769        1.009091
  1924         107             2.419355              .        2.419355
  1924         108                   .              .              .
  1924         109                   .              .              .
  1924         110+                  .              .              .
  1925           0             0.090264        0.119227        0.104757
  1925           1             0.012978        0.014790        0.013889
  1925           2             0.006221        0.006812        0.006519
  1925           3             0.004337        0.004631        0.004485
  1925           4             0.003422        0.003624        0.003524
  1925           5             0.002621        0.002953        0.002790
  1925           6             0.002244        0.002786        0.002519
  1925           7             0.001956        0.002387        0.002174
  1925           8             0.001728        0.002139        0.001935
  1925           9             0.001732        0.002191        0.001964
  1925          10             0.001511        0.001971        0.001742
  1925          11             0.001548        0.001932        0.001741
  1925          12             0.001752        0.001970        0.001861
  1925          13             0.001917        0.002016        0.001966
  1925          14             0.002086        0.002263        0.002175
  1925          15             0.002383        0.002214        0.002299
  1925          16             0.002370        0.002592        0.002481
  1925          17             0.002807        0.002680        0.002744
  1925          18             0.002870        0.003292        0.003080
  1925          19             0.003197        0.003145        0.003171
  1925          20             0.003784        0.003287        0.003538
  1925          21             0.003858        0.003712        0.003786
  1925          22             0.004165        0.003785        0.003978
  1925          23             0.004168        0.003473        0.003827
  1925          24             0.003673        0.003733        0.003702
  1925          25             0.003739        0.003525        0.003634
  1925          26             0.003771        0.003537        0.003656
  1925          27             0.004369        0.003534        0.003957
  1925          28             0.004149        0.003947        0.004049
  1925          29             0.004119        0.003382        0.003752
  1925          30             0.004141        0.003364        0.003752
  1925          31             0.003595        0.003092        0.003341
  1925          32             0.004378        0.004060        0.004216
  1925          33             0.004388        0.003642        0.004006
  1925          34             0.004408        0.003694        0.004039
  1925          35             0.004765        0.004305        0.004525
  1925          36             0.004796        0.004000        0.004377
  1925          37             0.004722        0.004250        0.004472
  1925          38             0.005625        0.004620        0.005091
  1925          39             0.005584        0.004457        0.004983
  1925          40             0.005678        0.005733        0.005707
  1925          41             0.005092        0.004384        0.004713
  1925          42             0.006866        0.006567        0.006705
  1925          43             0.005830        0.005277        0.005533
  1925          44             0.005782        0.005767        0.005774
  1925          45             0.006797        0.007100        0.006959
  1925          46             0.006274        0.005835        0.006039
  1925          47             0.006723        0.006872        0.006803
  1925          48             0.007139        0.007682        0.007430
  1925          49             0.007656        0.007846        0.007758
  1925          50             0.009378        0.009770        0.009588
  1925          51             0.006866        0.008091        0.007525
  1925          52             0.009747        0.009407        0.009564
  1925          53             0.009340        0.011348        0.010414
  1925          54             0.010670        0.010571        0.010618
  1925          55             0.011172        0.013443        0.012368
  1925          56             0.011898        0.014046        0.013019
  1925          57             0.012023        0.015295        0.013719
  1925          58             0.014365        0.017332        0.015903
  1925          59             0.015745        0.015936        0.015844
  1925          60             0.018889        0.020683        0.019827
  1925          61             0.015358        0.017607        0.016539
  1925          62             0.021093        0.022284        0.021721
  1925          63             0.022627        0.023521        0.023098
  1925          64             0.024585        0.028434        0.026608
  1925          65             0.030140        0.033600        0.031955
  1925          66             0.028456        0.032367        0.030503
  1925          67             0.032213        0.035451        0.033904
  1925          68             0.037765        0.040665        0.039275
  1925          69             0.039303        0.043934        0.041707
  1925          70             0.046830        0.051423        0.049205
  1925          71             0.040475        0.041429        0.040966
  1925          72             0.052153        0.057561        0.054924
  1925          73             0.056965        0.064711        0.060922
  1925          74             0.064450        0.070059        0.067311
  1925          75             0.076344        0.082548        0.079501
  1925          76             0.076156        0.086555        0.081437
  1925          77             0.079421        0.089667        0.084607
  1925          78             0.098279        0.104707        0.101513
  1925          79             0.091518        0.098445        0.094972
  1925          80             0.109391        0.126754        0.117509
  1925          81             0.096296        0.105721        0.100676
  1925          82             0.116649        0.134831        0.125070
  1925          83             0.143513        0.143270        0.143401
  1925          84             0.137027        0.168484        0.151274
  1925          85             0.165264        0.201617        0.181511
  1925          86             0.164735        0.199000        0.180004
  1925          87             0.200536        0.193532        0.197407
  1925          88             0.198125        0.225941        0.210424
  1925          89             0.192961        0.225965        0.206986
  1925          90             0.255077        0.267594        0.260195
  1925          91             0.192580        0.252243        0.216817
  1925          92             0.243134        0.272261        0.255144
  1925          93             0.271303        0.288347        0.278343
  1925          94             0.296579        0.331847        0.310723
  1925          95             0.315729        0.337231        0.324172
  1925          96             0.360068        0.330407        0.347680
  1925          97             0.384818        0.362095        0.374918
  1925          98             0.418229        0.203940        0.330687
  1925          99             0.349286        0.218470        0.295284
  1925         100             0.385555        0.399087        0.391207
  1925         101             0.404382        0.411561        0.407387
  1925         102             0.429694        0.419554        0.425223
  1925         103             0.456283        0.447832        0.452597
  1925         104             0.487606        0.507081        0.495536
  1925         105             0.543601        0.621818        0.573622
  1925         106             0.613277        1.000000        0.730741
  1925         107             0.573913        0.000000        0.464789
  1925         108             0.000000              .        0.000000
  1925         109                   .              .              .
  1925         110+                  .              .              .
  1926           0             0.095120        0.127091        0.111091
  1926           1             0.016605        0.018506        0.017560
  1926           2             0.007370        0.007756        0.007565
  1926           3             0.004786        0.005066        0.004928
  1926           4             0.003825        0.003672        0.003747
  1926           5             0.002709        0.003382        0.003050
  1926           6             0.002310        0.002697        0.002506
  1926           7             0.001990        0.002514        0.002256
  1926           8             0.001792        0.001971        0.001883
  1926           9             0.001805        0.002109        0.001958
  1926          10             0.001607        0.001988        0.001798
  1926          11             0.001544        0.001996        0.001771
  1926          12             0.001824        0.002011        0.001917
  1926          13             0.002028        0.002026        0.002027
  1926          14             0.002153        0.002254        0.002203
  1926          15             0.002412        0.002866        0.002639
  1926          16             0.002896        0.002533        0.002715
  1926          17             0.002527        0.002977        0.002751
  1926          18             0.003173        0.002990        0.003082
  1926          19             0.003294        0.003280        0.003287
  1926          20             0.003950        0.003452        0.003703
  1926          21             0.003644        0.003369        0.003508
  1926          22             0.003774        0.003825        0.003799
  1926          23             0.004379        0.003418        0.003906
  1926          24             0.003986        0.003435        0.003715
  1926          25             0.003514        0.003535        0.003524
  1926          26             0.004011        0.003277        0.003650
  1926          27             0.003910        0.003506        0.003711
  1926          28             0.004408        0.003980        0.004196
  1926          29             0.004621        0.003208        0.003919
  1926          30             0.004572        0.003719        0.004145
  1926          31             0.003920        0.003403        0.003660
  1926          32             0.004852        0.003767        0.004302
  1926          33             0.004832        0.003984        0.004399
  1926          34             0.004893        0.003597        0.004225
  1926          35             0.005573        0.005156        0.005356
  1926          36             0.005547        0.004374        0.004932
  1926          37             0.004882        0.004224        0.004534
  1926          38             0.006015        0.005259        0.005614
  1926          39             0.005793        0.004855        0.005294
  1926          40             0.005731        0.006601        0.006195
  1926          41             0.005372        0.004594        0.004956
  1926          42             0.006862        0.006691        0.006770
  1926          43             0.006133        0.005590        0.005842
  1926          44             0.006335        0.006089        0.006203
  1926          45             0.007201        0.007390        0.007302
  1926          46             0.007330        0.006667        0.006975
  1926          47             0.006915        0.007128        0.007030
  1926          48             0.008043        0.007729        0.007874
  1926          49             0.008332        0.008253        0.008290
  1926          50             0.008690        0.010382        0.009599
  1926          51             0.007579        0.008151        0.007887
  1926          52             0.010830        0.010234        0.010510
  1926          53             0.010118        0.010501        0.010323
  1926          54             0.010290        0.011058        0.010698
  1926          55             0.011337        0.015226        0.013388
  1926          56             0.012832        0.015565        0.014261
  1926          57             0.012710        0.013406        0.013071
  1926          58             0.016073        0.017362        0.016742
  1926          59             0.014856        0.016661        0.015796
  1926          60             0.019504        0.022353        0.020992
  1926          61             0.016628        0.019231        0.017992
  1926          62             0.021462        0.024105        0.022850
  1926          63             0.023088        0.025856        0.024541
  1926          64             0.025023        0.027073        0.026097
  1926          65             0.034079        0.036299        0.035241
  1926          66             0.031375        0.032012        0.031708
  1926          67             0.031559        0.036830        0.034309
  1926          68             0.040873        0.043167        0.042066
  1926          69             0.038055        0.042870        0.040549
