x1,sub_rmenu_code,code_description_3,x4,x5,srt_rmenu_code,code_description_7
29,EUYRD,Yard/Carhouse Related Problems,NA,29,MRIE,Injured Employee
30,MUATC,ATC Project,NA,30,MRLD,Labour Dispute - Subway
31,MUCL,Divisional Clerk Related,NA,31,MRNOA,No Operator Immediately Available - Not E.S.A. Related
32,MUD,Door Problems - Passenger Related,NA,32,MRO,Miscellaneous Other
33,MUDD,Door Problems - Debris Related,NA,33,MRPAA,Passenger Assistance Alarm Activated - No Trouble Found
34,MUEC,Misc. Engineering & Construction Related Problems,NA,34,MRPLA,Fire/Smoke Plan A
35,MUESA,No Operator Immediately Available,NA,35,MRPLB,Fire/Smoke Plan B
36,MUFM,Force Majeure,NA,36,MRPLC,Fire/Smoke Plan C
37,MUFS,Fire/Smoke Plan B - Source External to TTC,NA,37,MRPR1,Priority One - Train in Contact With Person
38,MUGD,Miscellaneous General Delays,NA,38,MRSAN,Unsanitary Vehicle
39,MUI,Injured or ill Customer (On Train) - Transported,NA,39,MRSTM,Scheduled Track Maintenance
40,MUIE,Injured Employee,NA,40,MRTO,Timeout
41,MUIR,Injured or ill Customer (On Train) - Medical Aid Refused,NA,41,MRUI,Injured or ill Customer (On Train) - Transported
42,MUIRS,Injured or ill Customer (In Station) - Medical Aid Refused,NA,42,MRUIR,Injured or ill Customer (On Train) - Medical Aid Refused
43,MUIS,Injured or ill Customer (In Station) - Transported,NA,43,MRWEA,Weather Reports / Related Delays
44,MULD,Labour Dispute - Subway,NA,44,PREL,Escalator/Elevator Incident
45,MUNOA,No Operator Immediately Available - Not E.S.A. Related,NA,45,PRO,Other
46,MUO,Miscellaneous Other,NA,46,PRS,VCC/RCIU/CCR
47,MUODC,Overhead Door Contact,NA,47,PRSA,Axle Counter Related
48,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found,NA,48,PRSL,Loop Related Failures
49,MUPLA,Fire/Smoke Plan A,NA,49,PRSO,Signals Other
50,MUPLB,Fire/Smoke Plan B - Source TTC,NA,50,PRSP,Signals Power Supply Related
51,MUPLC,Fire/Smoke Plan C,NA,51,PRST,Station Stairway Incident
52,MUPR1,Priority One - Train in Contact With Person,NA,52,PRSW,Switch Related
53,MUSAN,Unsanitary Vehicle,NA,53,PRTST,Signals - Train Stops
54,MUSC,Miscellaneous Speed Control,NA,54,PRW,Rail Defect/Fastenings/Power Rail
55,MUTD,Training Department Related Delays,NA,55,SRAE,Assault / Employee Involved
56,MUTO,Misc. Transportation Other - Employee Non-Chargeable,NA,56,SRAP,Assault / Patron Involved
57,MUWEA,Weather Reports / Related Delays,NA,57,SRBT,Bomb Threat
58,MUWR,Work Refusal,NA,58,SRCOL,Collector Booth Alarm Activated
59,PUATC,ATC Signals Other,NA,59,SRDP,Disorderly Patron
60,PUCBI,Central Logic Controller Failure,NA,60,SREAS,Emergency Alarm Station Activation
61,PUCSC,Signal Control Problem - Signals,NA,61,SRO,Passenger Other
62,PUCSS,Central Office Signalling System,NA,62,SRSA,Sexual Assault
63,PUDCS,Data Communications System Failure,NA,63,SRSP,Suspicious Package
64,PUMEL,Escalator/Elevator Incident,NA,64,SRUT,Unauthorized at Track Level
65,PUMO,Station Other,NA,65,TRDOE,Doors Open in Error
66,PUMST,Station Stairway Incident,NA,66,TRNIP,Operator Not In Position
67,PUOPO,OPTO (COMMS) Train Door Monitoring,NA,67,TRNOA,No Operator Immediately Available
68,PUSAC,Signals Axle Counter Block Failure,NA,68,TRO,Transportation Department - Other
69,PUSBE,Beacon Failure,NA,69,TRSET,Train Controls Improperly Shut Down
70,PUSCA,SCADA Related Problems,NA,70,TRST,Storm Trains
71,PUSCR,Subway Car Radio Fault,NA,71,TRTC,Transit Control Related Problems
72,PUSEA,EAS Failure,NA,NA,NA,NA
73,PUSI,Signals or Related Components Failure,NA,NA,NA,NA
74,PUSIO,Smart IO Failure,NA,NA,NA,NA
75,PUSIS,Signals Track Weather Related,NA,NA,NA,NA
76,PUSLC,Signals Line Countroller Failure,NA,NA,NA,NA
77,PUSNT,Signal Problem - No Trouble,NA,NA,NA,NA
78,PUSO,S/E/C Department Other,NA,NA,NA,NA
79,PUSRA,Subway Radio System Fault,NA,NA,NA,NA
80,PUSSW,Track Switch Failure - Signal Related Problem,NA,NA,NA,NA
81,PUSTC,Signals - Track Circuit Problems,NA,NA,NA,NA
82,PUSTP,Traction Power or Related Components Failure,NA,NA,NA,NA
83,PUSTS,Signals - Train Stops,NA,NA,NA,NA
84,PUSWZ,Work Zone Problems - Signals,NA,NA,NA,NA
85,PUSZC,Signals Zone Countroller Failure,NA,NA,NA,NA
86,PUTCD,T & S Contractor Problems,NA,NA,NA,NA
87,PUTD,Track Level Debris - Controllable,NA,NA,NA,NA
88,PUTDN,Debris At Track Level - Uncontrollable,NA,NA,NA,NA
89,PUTIJ,Insulated Joint Related Problem,NA,NA,NA,NA
90,PUTIS,Ice / Snow Related Problems,NA,NA,NA,NA
91,PUTNT,T&S Related Problem - NTF,NA,NA,NA,NA
92,PUTO,T&S Other,NA,NA,NA,NA
93,PUTOE,T & S Operator Related Problems,NA,NA,NA,NA
94,PUTR,Rail Related Problem,NA,NA,NA,NA
95,PUTS,Structure Related Problem,NA,NA,NA,NA
96,PUTSC,Signal Control Problem - Track,NA,NA,NA,NA
97,PUTSM,Track Switch Failure - Track Related Problem,NA,NA,NA,NA
98,PUTTC,Track Circuit Problems - Re: Defective Bolts/Bonding,NA,NA,NA,NA
99,PUTTP,Traction Power Rail Related,NA,NA,NA,NA
100,PUTWZ,Work Zone Problems - Track,NA,NA,NA,NA
101,SUAE,Assault / Employee Involved,NA,NA,NA,NA
102,SUAP,Assault / Patron Involved,NA,NA,NA,NA
103,SUBT,Bomb Threat,NA,NA,NA,NA
104,SUCOL,Collector Booth Alarm Activated,NA,NA,NA,NA
105,SUDP,Disorderly Patron,NA,NA,NA,NA
106,SUEAS,Emergency Alarm Station Activation,NA,NA,NA,NA
107,SUG,Graffiti / Scratchiti,NA,NA,NA,NA
108,SUO,Passenger Other,NA,NA,NA,NA
109,SUPOL,Held By Polce - Non-TTC Related,NA,NA,NA,NA
110,SUROB,Robbery,NA,NA,NA,NA
111,SUSA,Sexual Assault,NA,NA,NA,NA
112,SUSP,Suspicious Package,NA,NA,NA,NA
113,SUUT,Unauthorized at Track Level,NA,NA,NA,NA
114,TUATC,ATC Operator Related,NA,NA,NA,NA
115,TUCC,Transit Control Related Problems,NA,NA,NA,NA
116,TUDOE,Doors Open in Error,NA,NA,NA,NA
117,TUKEY,Two Drum Switch Keys Activated,NA,NA,NA,NA
118,TUML,Mainline Storage,NA,NA,NA,NA
119,TUMVS,Operator Violated Signal,NA,NA,NA,NA
120,TUNIP,Operator Not In Position,NA,NA,NA,NA
121,TUNOA,No Operator Immediately Available,NA,NA,NA,NA
122,TUO,Transportation Department - Other,NA,NA,NA,NA
123,TUOPO,OPTO Operator Related,NA,NA,NA,NA
124,TUOS,Operator Overshot Platform,NA,NA,NA,NA
125,TUS,Crew Unable to Maintain Schedule,NA,NA,NA,NA
126,TUSC,Operator Overspeeding,NA,NA,NA,NA
127,TUSET,Train Controls Improperly Shut Down,NA,NA,NA,NA
128,TUST,Storm Trains,NA,NA,NA,NA
129,TUSUP,Supervisory Error,NA,NA,NA,NA
