DivisionID,DivisionNm,StateAb,CandidateID,GivenNm,Surname,PartyNm,PartyAb
224,Mallee,VIC,36060,Anne,WEBSTER,The Nationals,NP
170,Maranoa,QLD,37498,David,LITTLEPROUD,Liberal National Party of Queensland,LNP
225,Maribyrnong,VIC,36441,Bill,SHORTEN,Australian Labor Party,ALP
188,Mayo,SA,37710,Rebekha,SHARKIE,Centre Alliance,XEN
226,McEwen,VIC,36445,Rob,MITCHELL,Australian Labor Party,ALP
315,McMahon,NSW,36815,Chris,BOWEN,Australian Labor Party,ALP
171,McPherson,QLD,37494,Karen,ANDREWS,Liberal National Party of Queensland,LNP
228,Melbourne,VIC,36551,Adam,BANDT,The Greens,GRN
229,Menzies,VIC,36733,Keith,WOLAHAN,Liberal,LP
134,Mitchell,NSW,37174,Alex,HAWKE,Liberal,LP
323,Monash,VIC,36737,Russell,BROADBENT,Liberal,LP
172,Moncrieff,QLD,37501,Angie,BELL,Liberal National Party of Queensland,LNP
242,Moore,WA,36592,Ian,GOODENOUGH,Liberal,LP
173,Moreton,QLD,37253,Graham,PERRETT,Australian Labor Party,ALP
135,New England,NSW,36335,Barnaby,JOYCE,The Nationals,NP
136,Newcastle,NSW,36804,Sharon,CLAYDON,Australian Labor Party,ALP
324,Nicholls,VIC,36061,Sam,BIRRELL,The Nationals,NP
137,North Sydney,NSW,37452,Kylea Jane,TINK,Independent,IND
243,O'Connor,WA,36594,Rick,WILSON,Liberal,LP
174,Oxley,QLD,37259,Milton,DICK,Australian Labor Party,ALP
138,Page,NSW,36316,Kevin,HOGAN,The Nationals,NP
139,Parkes,NSW,36363,Mark,COULTON,The Nationals,NP
140,Parramatta,NSW,36800,Andrew,CHARLTON,Australian Labor Party,ALP
249,Paterson,NSW,36910,Meryl,SWANSON,Australian Labor Party,ALP
244,Pearce,WA,37326,Tracey,ROBERTS,Australian Labor Party,ALP
245,Perth,WA,37327,Patrick,GORMAN,Australian Labor Party,ALP
175,Petrie,QLD,37486,Luke,HOWARTH,Liberal National Party of Queensland,LNP
176,Rankin,QLD,37263,Jim,CHALMERS,Australian Labor Party,ALP
144,Reid,NSW,36917,Sally,SITOU,Australian Labor Party,ALP
145,Richmond,NSW,36802,Justine,ELLIOT,Australian Labor Party,ALP
250,Riverina,NSW,36324,Michael,McCORMACK,The Nationals,NP
146,Robertson,NSW,36801,Gordon,REID,Australian Labor Party,ALP
177,Ryan,QLD,37370,Elizabeth,WATSON-BROWN,The Greens,GRN
232,Scullin,VIC,36447,Andrew,GILES,Australian Labor Party,ALP
148,Shortland,NSW,36806,Pat,CONROY,Australian Labor Party,ALP
307,Solomon,NT,37280,Luke,GOSLING,Australian Labor Party,ALP
325,Spence,SA,36990,Matt,BURNELL,Australian Labor Party,ALP
190,Sturt,SA,37067,James,STEVENS,Liberal,LP
247,Swan,WA,37333,Zaneta,MASCARENHAS,Australian Labor Party,ALP
149,Sydney,NSW,36805,Tanya,PLIBERSEK,Australian Labor Party,ALP
248,Tangney,WA,37337,Sam,LIM,Australian Labor Party,ALP
233,Wannon,VIC,36735,Dan,TEHAN,Liberal,LP
151,Warringah,NSW,32467,Zali,STEGGALL,Independent,IND
251,Watson,NSW,36809,Tony,BURKE,Australian Labor Party,ALP
152,Wentworth,NSW,37451,Allegra,SPENDER,Independent,IND
153,Werriwa,NSW,36810,Anne Maree,STANLEY,Australian Labor Party,ALP
150,Whitlam,NSW,36811,Stephen,JONES,Australian Labor Party,ALP
178,Wide Bay,QLD,37506,Llew,O'BRIEN,Liberal National Party of Queensland,LNP
234,Wills,VIC,36452,Peter,KHALIL,Australian Labor Party,ALP
316,Wright,QLD,37500,Scott,BUCHHOLZ,Liberal National Party of Queensland,LNP
