resp,fqweight,urban,region,age,educattgen,marstat,abortion,hdi,hdi_c
69,1.10726463794708,rural,west nile,30,never attended,currently married,0,0.486,-0.8396152505858784
70,0.890749514102936,rural,south west,11,primary/middle school,divorced or separated,1,0.518,-0.2540235000400994
71,0.21895606815815,urban,kampala,19,secondary/post-primary,currently married,1,0.639,1.9602453067111254
72,1.00986623764038,rural,east central,21,never attended,currently married,0,0.53,-0.03442659358543225
73,0.320326715707779,urban,karamoja,26,tertiary/post-secondary,currently married,0,0.45,-1.4984059699498786
74,0.693341016769409,rural,east central,16,primary/middle school,divorced or separated,0,0.53,-0.03442659358543225
75,0.870838284492493,urban,west nile,30,primary/middle school,currently married,0,0.486,-0.8396152505858784
76,0.875412702560425,rural,western,26,primary/middle school,currently living with partner,1,0.499,-0.6017186019266556
77,0.981557369232178,rural,north,15,primary/middle school,currently married,0,0.475,-1.0409124148359898
78,1.27590298652649,rural,central 2,9,primary/middle school,currently living with partner,0,0.586,0.990358969869679
79,0.21186837553978,urban,kampala,37,primary/middle school,currently married,0,0.639,1.9602453067111254
80,1.23874318599701,rural,eastern,30,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
81,1.73442399501801,rural,eastern,25,primary/middle school,currently married,0,0.526,-0.10762556240365462
82,0.735556721687317,rural,south west,15,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
83,3.63818645477295,urban,western,20,secondary/post-primary,currently living with partner,0,0.499,-0.6017186019266556
84,0.735556721687317,rural,south west,30,tertiary/post-secondary,currently living with partner,0,0.518,-0.2540235000400994
85,0.963616847991943,rural,south west,13,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
86,0.693341016769409,rural,east central,18,tertiary/post-secondary,never married,0,0.53,-0.03442659358543225
87,0.521850943565369,urban,kampala,16,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
88,1.27649021148682,rural,eastern,37,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
89,0.371642619371414,rural,karamoja,30,never attended,currently married,0,0.45,-1.4984059699498786
90,0.533117592334747,rural,east central,23,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
91,0.393813788890839,urban,kampala,14,primary/middle school,currently married,0,0.639,1.9602453067111254
92,0.768798232078552,rural,central 2,23,primary/middle school,currently living with partner,0,0.586,0.990358969869679
93,2.40215873718262,rural,western,7,secondary/post-primary,never married,0,0.499,-0.6017186019266556
94,1.27649021148682,rural,eastern,23,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
95,0.963616847991943,rural,south west,21,tertiary/post-secondary,currently married,0,0.518,-0.2540235000400994
96,1.14116489887238,rural,central 2,18,primary/middle school,currently living with partner,0,0.586,0.990358969869679
97,0.221876218914986,rural,karamoja,19,primary/middle school,currently married,0,0.45,-1.4984059699498786
98,0.715515851974487,rural,east central,24,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
99,0.455407708883286,urban,kampala,22,secondary/post-primary,currently married,0,0.639,1.9602453067111254
100,0.400493562221527,urban,kampala,29,tertiary/post-secondary,currently living with partner,1,0.639,1.9602453067111254
101,1.23874318599701,rural,eastern,26,primary/middle school,currently married,0,0.526,-0.10762556240365462
102,0.67438161373138406,rural,north,40,never attended,divorced or separated,0,0.475,-1.0409124148359898
103,1.51590502262115,rural,eastern,33,primary/middle school,widow or widower,0,0.526,-0.10762556240365462
104,0.771679103374481,rural,south west,22,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
105,0.963616847991943,rural,south west,16,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
106,3.63818645477295,urban,western,8,secondary/post-primary,never married,0,0.499,-0.6017186019266556
107,1.51590502262115,rural,eastern,31,never attended,currently married,0,0.526,-0.10762556240365462
108,3.62319445610046,urban,central 2,34,primary/middle school,divorced or separated,0,0.586,0.990358969869679
109,0.533117592334747,rural,east central,15,secondary/post-primary,never married,0,0.53,-0.03442659358543225
110,0.400493562221527,urban,kampala,18,tertiary/post-secondary,currently living with partner,0,0.639,1.9602453067111254
111,2.01047205924988,rural,eastern,17,primary/middle school,currently married,0,0.526,-0.10762556240365462
112,1.18687474727631,rural,south west,35,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
113,0.462453693151474,rural,west nile,28,primary/middle school,widow or widower,0,0.486,-0.8396152505858784
114,1.08199954032898,rural,east central,19,primary/middle school,currently married,0,0.53,-0.03442659358543225
115,0.870838284492493,urban,west nile,18,secondary/post-primary,currently married,0,0.486,-0.8396152505858784
116,1.26523149013519,urban,central 2,25,secondary/post-primary,widow or widower,0,0.586,0.990358969869679
117,1.27649021148682,rural,eastern,11,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
118,0.708830237388611,rural,north,18,never attended,currently married,0,0.475,-1.0409124148359898
119,0.771679103374481,rural,south west,31,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
120,1.23874318599701,rural,eastern,8,tertiary/post-secondary,currently living with partner,0,0.526,-0.10762556240365462
121,0.320326715707779,urban,karamoja,25,primary/middle school,currently married,0,0.45,-1.4984059699498786
122,1.337850689888,urban,south west,15,tertiary/post-secondary,never married,0,0.518,-0.2540235000400994
123,0.267083436250687,urban,kampala,29,secondary/post-primary,divorced or separated,1,0.639,1.9602453067111254
124,0.533117592334747,rural,east central,33,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
125,3.63818645477295,urban,western,26,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
126,0.7029869556427,rural,north,13,primary/middle school,currently married,0,0.475,-1.0409124148359898
127,1.10726463794708,rural,west nile,24,primary/middle school,currently married,0,0.486,-0.8396152505858784
128,0.515802502632141,rural,east central,30,primary/middle school,currently married,0,0.53,-0.03442659358543225
129,1.2955139875412,urban,central 1,9,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
130,0.779856145381927,rural,east central,20,primary/middle school,currently married,0,0.53,-0.03442659358543225
131,1.08199954032898,rural,east central,27,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
132,3.62319445610046,urban,central 2,12,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
133,2.40215873718262,rural,western,22,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
134,0.743071973323822,urban,eastern,13,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
135,1.96849310398102,rural,central 1,9,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
136,0.573298931121826,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
137,0.649448990821838,urban,kampala,13,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
138,0.813002467155457,rural,west nile,37,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
139,0,urban,kampala,21,primary/middle school,never married,0,0.639,1.9602453067111254
140,1.08199954032898,rural,east central,18,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
141,0.387008875608444,urban,kampala,11,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
142,1.00986623764038,rural,east central,22,primary/middle school,currently married,0,0.53,-0.03442659358543225
143,1.3285745382309,rural,central 1,17,secondary/post-primary,currently living with partner,1,0.54,0.14857082846012368
144,1.96849310398102,rural,central 1,12,tertiary/post-secondary,never married,0,0.54,0.14857082846012368
145,0.732630848884583,rural,north,16,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
146,1.23874318599701,rural,eastern,7,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
147,3.62319445610046,urban,central 2,10,secondary/post-primary,never married,0,0.586,0.990358969869679
148,0.533117592334747,rural,east central,10,secondary/post-primary,never married,0,0.53,-0.03442659358543225
149,1.27649021148682,rural,eastern,11,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
150,1.74646699428558,rural,western,13,secondary/post-primary,never married,0,0.499,-0.6017186019266556
151,1.18687474727631,rural,south west,15,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
152,1.91893446445465,rural,western,20,secondary/post-primary,currently married,0,0.499,-0.6017186019266556
153,1.2955139875412,urban,central 1,24,secondary/post-primary,currently married,0,0.54,0.14857082846012368
154,0.387008875608444,urban,kampala,12,primary/middle school,currently married,0,0.639,1.9602453067111254
155,0.184424161911011,rural,karamoja,16,never attended,currently married,0,0.45,-1.4984059699498786
156,1.03977906703949,rural,west nile,17,primary/middle school,currently married,1,0.486,-0.8396152505858784
157,0.9742192029953,rural,central 2,41,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
158,1.42624497413635,rural,central 1,26,never attended,widow or widower,0,0.54,0.14857082846012368
159,0.768798232078552,rural,central 2,36,primary/middle school,currently living with partner,0,0.586,0.990358969869679
160,1.2542210817337,rural,eastern,17,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
161,1.41751039028168,urban,western,33,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
162,0.890749514102936,rural,south west,29,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
163,0.806391000747681,rural,central 1,13,secondary/post-primary,never married,0,0.54,0.14857082846012368
164,0.455407708883286,urban,kampala,14,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
165,0.21895606815815,urban,kampala,10,primary/middle school,currently married,0,0.639,1.9602453067111254
166,0.327350169420242,urban,kampala,23,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
167,0.569035053253174,urban,east central,17,primary/middle school,currently married,0,0.53,-0.03442659358543225
168,1.62163639068604,urban,central 1,30,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
169,0.779856145381927,rural,east central,7,primary/middle school,currently married,0,0.53,-0.03442659358543225
170,1.3285745382309,rural,central 1,22,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
171,0.21186837553978,urban,kampala,30,primary/middle school,currently married,1,0.639,1.9602453067111254
172,0.275290846824646,rural,karamoja,38,never attended,widow or widower,0,0.45,-1.4984059699498786
173,0.981557369232178,rural,north,24,tertiary/post-secondary,never married,0,0.475,-1.0409124148359898
174,0.735556721687317,rural,south west,41,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
175,0.451668053865433,urban,kampala,12,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
176,0.981557369232178,rural,north,27,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
177,2.35517024993896,rural,south west,20,secondary/post-primary,never married,1,0.518,-0.2540235000400994
178,0.327350169420242,urban,kampala,40,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
179,0.71438992023468,rural,south west,30,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
180,0.981557369232178,rural,north,35,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
181,0.743305802345276,urban,east central,18,primary/middle school,divorced or separated,1,0.53,-0.03442659358543225
182,0.515802502632141,rural,east central,10,secondary/post-primary,currently living with partner,1,0.53,-0.03442659358543225
183,0.455407708883286,urban,kampala,16,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
184,0.756367683410645,urban,south west,11,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
185,0.267083436250687,urban,kampala,27,primary/middle school,currently married,0,0.639,1.9602453067111254
186,0.790351390838623,rural,central 2,29,primary/middle school,currently living with partner,0,0.586,0.990358969869679
187,3.62319445610046,urban,central 2,30,primary/middle school,currently living with partner,0,0.586,0.990358969869679
188,0.413919627666473,urban,kampala,19,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
189,1.74646699428558,rural,western,16,primary/middle school,currently married,0,0.499,-0.6017186019266556
190,1.04114174842834,rural,western,30,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
191,0.768798232078552,rural,central 2,10,primary/middle school,currently living with partner,0,0.586,0.990358969869679
192,2.6398618221283,rural,central 1,13,secondary/post-primary,currently married,0,0.54,0.14857082846012368
193,0.320326715707779,urban,karamoja,11,never attended,never married,0,0.45,-1.4984059699498786
194,1.51590502262115,rural,eastern,10,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
195,2.90652441978455,rural,central 2,16,primary/middle school,currently living with partner,0,0.586,0.990358969869679
196,0.462453693151474,rural,west nile,11,primary/middle school,never married,0,0.486,-0.8396152505858784
197,0.981557369232178,rural,north,33,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
198,0.806391000747681,rural,central 1,20,secondary/post-primary,currently married,0,0.54,0.14857082846012368
199,1.51590502262115,rural,eastern,11,primary/middle school,currently married,0,0.526,-0.10762556240365462
200,1.337850689888,urban,south west,20,secondary/post-primary,divorced or separated,0,0.518,-0.2540235000400994
201,0.562493979930878,rural,east central,20,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
202,0.663531422615051,rural,north,38,never attended,currently married,0,0.475,-1.0409124148359898
203,3.63818645477295,urban,western,25,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
204,0.521850943565369,urban,kampala,35,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
205,2.40215873718262,rural,western,22,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
206,0.783331871032715,rural,east central,10,secondary/post-primary,never married,0,0.53,-0.03442659358543225
207,0.735556721687317,rural,south west,24,primary/middle school,currently married,0,0.518,-0.2540235000400994
208,0.771679103374481,rural,south west,40,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
209,1.51590502262115,rural,eastern,28,primary/middle school,currently married,0,0.526,-0.10762556240365462
210,1.10343849658966,rural,south west,14,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
211,0.533455550670624,rural,south west,19,primary/middle school,currently married,0,0.518,-0.2540235000400994
212,0.880152344703674,rural,north,31,primary/middle school,currently married,0,0.475,-1.0409124148359898
213,0.320326715707779,urban,karamoja,10,primary/middle school,currently married,0,0.45,-1.4984059699498786
214,0.403276950120926,rural,karamoja,30,never attended,currently married,0,0.45,-1.4984059699498786
215,1.16218483448029,urban,north,24,primary/middle school,currently married,0,0.475,-1.0409124148359898
216,0.735556721687317,rural,south west,14,tertiary/post-secondary,never married,0,0.518,-0.2540235000400994
217,2.6398618221283,rural,central 1,26,primary/middle school,currently married,1,0.54,0.14857082846012368
218,0.327350169420242,urban,kampala,18,secondary/post-primary,currently married,1,0.639,1.9602453067111254
219,0.400493562221527,urban,kampala,40,secondary/post-primary,widow or widower,1,0.639,1.9602453067111254
220,0.227233305573463,rural,karamoja,29,never attended,currently living with partner,0,0.45,-1.4984059699498786
221,1.18687474727631,rural,south west,37,never attended,divorced or separated,0,0.518,-0.2540235000400994
222,1.07834649085999,rural,west nile,16,primary/middle school,currently married,0,0.486,-0.8396152505858784
223,0.393813788890839,urban,kampala,11,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
224,0.870838284492493,urban,west nile,20,primary/middle school,currently married,0,0.486,-0.8396152505858784
225,0.732630848884583,rural,north,18,primary/middle school,currently married,0,0.475,-1.0409124148359898
226,0.573298931121826,rural,north,23,primary/middle school,currently living with partner,1,0.475,-1.0409124148359898
227,1.96849310398102,rural,central 1,24,secondary/post-primary,currently married,0,0.54,0.14857082846012368
228,0.267083436250687,urban,kampala,7,primary/middle school,never married,0,0.639,1.9602453067111254
229,1.51590502262115,rural,eastern,37,primary/middle school,currently married,1,0.526,-0.10762556240365462
230,0.533117592334747,rural,east central,32,never attended,currently living with partner,0,0.53,-0.03442659358543225
231,3.63818645477295,urban,western,6,primary/middle school,never married,0,0.499,-0.6017186019266556
232,0.227233305573463,rural,karamoja,25,never attended,currently living with partner,0,0.45,-1.4984059699498786
233,0.462453693151474,rural,west nile,16,primary/middle school,currently married,0,0.486,-0.8396152505858784
234,1.27590298652649,rural,central 2,31,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
235,0.783331871032715,rural,east central,41,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
236,0.227233305573463,rural,karamoja,21,never attended,currently living with partner,0,0.45,-1.4984059699498786
237,2.03499150276184,rural,east central,28,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
238,0.693341016769409,rural,east central,12,primary/middle school,divorced or separated,0,0.53,-0.03442659358543225
239,0.371642619371414,rural,karamoja,27,never attended,currently living with partner,0,0.45,-1.4984059699498786
240,0.462453693151474,rural,west nile,37,primary/middle school,currently married,0,0.486,-0.8396152505858784
241,0.533455550670624,rural,south west,16,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
242,1.73442399501801,rural,eastern,13,primary/middle school,currently married,0,0.526,-0.10762556240365462
243,0.605311870574951,rural,north,31,primary/middle school,currently married,0,0.475,-1.0409124148359898
244,0.474608927965164,urban,kampala,13,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
245,0.774413764476776,urban,kampala,7,primary/middle school,never married,0,0.639,1.9602453067111254
246,0.451668053865433,urban,kampala,17,secondary/post-primary,currently married,1,0.639,1.9602453067111254
247,0.735556721687317,rural,south west,24,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
248,0.779856145381927,rural,east central,23,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
249,1.10343849658966,rural,south west,23,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
250,0.779856145381927,rural,east central,21,primary/middle school,currently married,0,0.53,-0.03442659358543225
251,0.688387393951416,rural,south west,38,secondary/post-primary,divorced or separated,0,0.518,-0.2540235000400994
252,0.868455708026886,rural,north,26,primary/middle school,divorced or separated,1,0.475,-1.0409124148359898
253,1.10343849658966,rural,south west,17,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
254,0.320326715707779,urban,karamoja,25,never attended,currently married,0,0.45,-1.4984059699498786
255,0.356312274932861,urban,kampala,10,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
256,0.462453693151474,rural,west nile,21,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
257,0.67438161373138406,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
258,0.356312274932861,urban,kampala,21,primary/middle school,divorced or separated,1,0.639,1.9602453067111254
259,0.267083436250687,urban,kampala,12,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
260,0.391579538583755,urban,kampala,11,primary/middle school,currently married,0,0.639,1.9602453067111254
261,0.21895606815815,urban,kampala,20,secondary/post-primary,currently married,0,0.639,1.9602453067111254
262,0.963616847991943,rural,south west,18,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
263,0.562493979930878,rural,east central,15,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
264,0.320326715707779,urban,karamoja,26,tertiary/post-secondary,currently married,0,0.45,-1.4984059699498786
265,1.26523149013519,urban,central 2,15,tertiary/post-secondary,currently married,0,0.586,0.990358969869679
266,0.875412702560425,rural,western,21,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
267,1.91893446445465,rural,western,19,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
268,0.451668053865433,urban,kampala,12,primary/middle school,never married,0,0.639,1.9602453067111254
269,0.605311870574951,rural,north,11,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
270,0.462453693151474,rural,west nile,23,primary/middle school,currently married,0,0.486,-0.8396152505858784
271,0.21895606815815,urban,kampala,20,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
272,0,urban,south west,21,primary/middle school,divorced or separated,1,0.518,-0.2540235000400994
273,0.813002467155457,rural,west nile,38,never attended,currently married,0,0.486,-0.8396152505858784
274,1.96849310398102,rural,central 1,6,primary/middle school,never married,0,0.54,0.14857082846012368
275,0.391579538583755,urban,kampala,21,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
276,0.868455708026886,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
277,0.785676836967468,rural,western,25,primary/middle school,currently married,0,0.499,-0.6017186019266556
278,0.743305802345276,urban,east central,22,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
279,0.21895606815815,urban,kampala,23,secondary/post-primary,currently married,0,0.639,1.9602453067111254
280,2.35517024993896,rural,south west,13,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
281,1.08436417579651,rural,eastern,34,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
282,1.73442399501801,rural,eastern,33,never attended,currently married,0,0.526,-0.10762556240365462
283,1.27649021148682,rural,eastern,18,primary/middle school,currently married,0,0.526,-0.10762556240365462
284,2.20405745506287,rural,eastern,27,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
285,0.221876218914986,rural,karamoja,30,primary/middle school,currently married,0,0.45,-1.4984059699498786
286,0.403276950120926,rural,karamoja,14,never attended,currently married,0,0.45,-1.4984059699498786
287,1.74646699428558,rural,western,20,primary/middle school,currently married,0,0.499,-0.6017186019266556
288,0.7029869556427,rural,north,28,primary/middle school,currently married,0,0.475,-1.0409124148359898
289,0.275290846824646,rural,karamoja,35,never attended,currently married,0,0.45,-1.4984059699498786
290,0.652295649051666,rural,north,12,secondary/post-primary,divorced or separated,0,0.475,-1.0409124148359898
291,1.03977906703949,rural,west nile,16,primary/middle school,currently married,0,0.486,-0.8396152505858784
292,1.27649021148682,rural,eastern,13,secondary/post-primary,currently married,0,0.526,-0.10762556240365462
293,0.652295649051666,rural,north,20,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
294,0.227233305573463,rural,karamoja,19,primary/middle school,currently living with partner,0,0.45,-1.4984059699498786
295,0.221876218914986,rural,karamoja,30,primary/middle school,currently married,0,0.45,-1.4984059699498786
296,1.2955139875412,urban,central 1,17,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
297,1.91893446445465,rural,western,24,tertiary/post-secondary,currently living with partner,0,0.499,-0.6017186019266556
