gender,state,vote_biden,age_group,education_level,stateicp
female,VA,0,age_30-44,Grad degree,virginia
male,CA,1,age_30-44,Post sec +,california
male,FL,1,age_60_or_more,Post sec +,florida
female,TX,0,age_30-44,Post sec +,texas
male,TX,0,age_30-44,Post sec +,texas
male,IL,1,age_30-44,Post sec +,illinois
female,TX,0,age_18-29,Some post sec,texas
male,VA,0,age_60_or_more,Some post sec,virginia
male,NC,0,age_60_or_more,Post sec +,north carolina
male,MN,1,age_18-29,Post sec +,minnesota
male,VA,1,age_60_or_more,Some post sec,virginia
female,CA,1,age_45-59,Post sec +,california
female,NY,1,age_45-59,Post sec +,new york
male,VA,0,age_30-44,Grad degree,virginia
female,WI,1,age_30-44,Some post sec,wisconsin
male,FL,0,age_45-59,Grad degree,florida
male,KY,1,age_18-29,Post sec +,kentucky
male,NY,1,age_45-59,High school or less,new york
male,WI,1,age_60_or_more,Post sec +,wisconsin
male,MI,0,age_30-44,Post sec +,michigan
male,NY,1,age_45-59,Post sec +,new york
female,NC,1,age_30-44,Post sec +,north carolina
male,IL,1,age_30-44,Some post sec,illinois
male,FL,0,age_60_or_more,Some post sec,florida
male,TX,1,age_30-44,Post sec +,texas
female,PA,0,age_30-44,Some post sec,pennsylvania
female,TX,1,age_45-59,Post sec +,texas
female,AR,1,age_60_or_more,Post sec +,arkansas
male,CO,0,age_45-59,Post sec +,colorado
male,FL,1,age_45-59,Post sec +,florida
male,GA,0,age_45-59,Post sec +,georgia
male,OK,1,age_30-44,Post sec +,oklahoma
female,CA,1,age_30-44,Post sec +,california
female,MD,1,age_30-44,Post sec +,maryland
male,OH,0,age_60_or_more,Post sec +,ohio
female,GA,1,age_45-59,Some post sec,georgia
female,MD,1,age_45-59,Post sec +,maryland
female,FL,0,age_45-59,Post sec +,florida
female,FL,1,age_18-29,Some post sec,florida
female,NC,0,age_18-29,High school or less,north carolina
female,NC,1,age_30-44,Some post sec,north carolina
male,MA,1,age_18-29,Some post sec,massachusetts
male,PA,0,age_45-59,Post sec +,pennsylvania
female,NY,1,age_45-59,Grad degree,new york
male,NY,0,age_45-59,Grad degree,new york
male,PA,1,age_60_or_more,Post sec +,pennsylvania
male,MA,1,age_45-59,Post sec +,massachusetts
male,FL,0,age_30-44,Post sec +,florida
female,TX,1,age_60_or_more,Grad degree,texas
female,IL,1,age_18-29,Post sec +,illinois
male,NY,0,age_30-44,Post sec +,new york
male,GA,0,age_18-29,Some post sec,georgia
male,LA,1,age_60_or_more,Post sec +,louisiana
female,FL,0,age_45-59,Some post sec,florida
male,FL,1,age_30-44,Grad degree,florida
male,FL,0,age_60_or_more,Some post sec,florida
female,CA,0,age_45-59,Some post sec,california
female,NJ,1,age_18-29,Grad degree,new jersey
male,NC,0,age_30-44,High school or less,north carolina
male,IA,1,age_30-44,Post sec +,iowa
male,TX,0,age_30-44,Some post sec,texas
male,VA,0,age_30-44,Grad degree,virginia
female,FL,0,age_45-59,High school or less,florida
female,FL,0,age_45-59,Some post sec,florida
female,VA,1,age_30-44,Post sec +,virginia
female,MS,1,age_30-44,Post sec +,mississippi
female,MA,1,age_60_or_more,Post sec +,massachusetts
female,IL,1,age_18-29,Post sec +,illinois
male,OH,0,age_30-44,Some post sec,ohio
female,IL,1,age_30-44,Grad degree,illinois
male,NH,1,age_60_or_more,Some post sec,new hampshire
male,SD,1,age_18-29,High school or less,south dakota
female,MD,1,age_45-59,Post sec +,maryland
male,NC,1,age_30-44,Post sec +,north carolina
male,ME,1,age_30-44,Some post sec,maine
male,NJ,0,age_30-44,Post sec +,new jersey
female,TX,1,age_30-44,Post sec +,texas
female,OH,1,age_30-44,Post sec +,ohio
female,VA,1,age_18-29,Post sec +,virginia
female,FL,1,age_18-29,Post sec +,florida
female,MN,1,age_18-29,Post sec +,minnesota
female,CA,0,age_30-44,Post sec +,california
male,CA,1,age_45-59,High school or less,california
female,CA,1,age_30-44,Grad degree,california
male,CA,1,age_30-44,Post sec +,california
female,CA,1,age_18-29,Post sec +,california
female,NM,1,age_30-44,Post sec +,new mexico
female,PA,1,age_30-44,Post sec +,pennsylvania
male,TX,0,age_30-44,Some post sec,texas
female,TN,0,age_60_or_more,Post sec +,tennessee
female,IL,1,age_60_or_more,Post sec +,illinois
female,NM,0,age_30-44,High school or less,new mexico
female,OR,0,age_30-44,High school or less,oregon
female,FL,1,age_30-44,High school or less,florida
female,NY,1,age_30-44,Some post sec,new york
male,CA,0,age_60_or_more,Post sec +,california
female,OH,0,age_60_or_more,Post sec +,ohio
female,CO,1,age_30-44,Post sec +,colorado
male,KS,1,age_30-44,Post sec +,kansas
male,NY,0,age_60_or_more,High school or less,new york
male,MI,1,age_60_or_more,Post sec +,michigan
male,SC,0,age_30-44,Some post sec,south carolina
male,GA,1,age_30-44,Post sec +,georgia
male,MI,1,age_30-44,Post sec +,michigan
male,OH,0,age_30-44,High school or less,ohio
male,FL,1,age_30-44,Post sec +,florida
female,TX,1,age_45-59,Post sec +,texas
male,TX,1,age_18-29,Some post sec,texas
male,FL,0,age_30-44,Post sec +,florida
male,AZ,0,age_18-29,Post sec +,arizona
male,UT,0,age_30-44,High school or less,utah
male,IL,1,age_18-29,Post sec +,illinois
female,TX,0,age_60_or_more,Post sec +,texas
male,WA,0,age_60_or_more,Post sec +,washington
female,CO,0,age_30-44,Some post sec,colorado
male,CA,0,age_30-44,Post sec +,california
male,FL,0,age_18-29,High school or less,florida
male,PA,1,age_18-29,Some post sec,pennsylvania
male,NJ,0,age_30-44,Grad degree,new jersey
male,TX,0,age_60_or_more,Post sec +,texas
male,NY,0,age_30-44,Some post sec,new york
male,VA,1,age_30-44,Post sec +,virginia
female,OH,0,age_30-44,High school or less,ohio
male,TX,0,age_60_or_more,Some post sec,texas
female,TX,1,age_30-44,Some post sec,texas
male,CA,0,age_60_or_more,Post sec +,california
male,GA,0,age_60_or_more,Some post sec,georgia
male,WV,1,age_60_or_more,High school or less,west virginia
male,MI,1,age_30-44,Post sec +,michigan
male,FL,1,age_60_or_more,Post sec +,florida
male,NY,0,age_60_or_more,Post sec +,new york
male,FL,0,age_60_or_more,Some post sec,florida
male,DC,0,age_30-44,Grad degree,district of columbia
female,HI,1,age_18-29,Some post sec,hawaii
male,CA,0,age_30-44,Post sec +,california
male,GA,0,age_30-44,High school or less,georgia
male,VA,1,age_60_or_more,Post sec +,virginia
male,KY,1,age_45-59,Some post sec,kentucky
male,WA,1,age_60_or_more,Post sec +,washington
female,GA,1,age_30-44,Post sec +,georgia
male,VA,1,age_60_or_more,Some post sec,virginia
male,NY,0,age_30-44,Post sec +,new york
male,FL,1,age_45-59,Post sec +,florida
male,IL,1,age_60_or_more,Post sec +,illinois
male,KY,0,age_30-44,High school or less,kentucky
male,NC,0,age_45-59,Post sec +,north carolina
male,TX,0,age_45-59,Some post sec,texas
male,CA,0,age_30-44,Grad degree,california
male,NY,0,age_45-59,Post sec +,new york
female,FL,0,age_18-29,High school or less,florida
female,WA,1,age_30-44,Post sec +,washington
male,AZ,1,age_60_or_more,High school or less,arizona
male,OH,0,age_60_or_more,High school or less,ohio
male,ME,1,age_45-59,Post sec +,maine
male,CA,0,age_30-44,Post sec +,california
female,NY,1,age_30-44,Post sec +,new york
male,CA,1,age_60_or_more,Some post sec,california
male,IN,1,age_30-44,Post sec +,indiana
female,NY,0,age_45-59,Post sec +,new york
male,PA,1,age_30-44,Post sec +,pennsylvania
female,WA,1,age_45-59,Post sec +,washington
male,MS,1,age_30-44,Post sec +,mississippi
male,UT,0,age_45-59,Some post sec,utah
male,NJ,1,age_45-59,Post sec +,new jersey
male,NY,0,age_60_or_more,Post sec +,new york
male,NY,1,age_45-59,High school or less,new york
male,FL,0,age_60_or_more,High school or less,florida
female,TX,1,age_18-29,Grad degree,texas
male,TX,0,age_60_or_more,Some post sec,texas
male,PA,1,age_30-44,Post sec +,pennsylvania
male,MA,1,age_45-59,High school or less,massachusetts
male,IL,0,age_60_or_more,Some post sec,illinois
male,NY,0,age_60_or_more,Some post sec,new york
male,TN,0,age_60_or_more,Some post sec,tennessee
female,PA,0,age_60_or_more,Some post sec,pennsylvania
male,CA,1,age_30-44,Grad degree,california
male,FL,0,age_45-59,Post sec +,florida
male,KY,1,age_45-59,High school or less,kentucky
male,FL,0,age_60_or_more,High school or less,florida
male,OH,0,age_30-44,Post sec +,ohio
male,WV,1,age_60_or_more,Post sec +,west virginia
male,CT,0,age_30-44,Post sec +,connecticut
female,IL,1,age_18-29,Post sec +,illinois
male,KY,0,age_45-59,High school or less,kentucky
female,TX,0,age_18-29,Some post sec,texas
male,VA,0,age_60_or_more,Post sec +,virginia
male,KY,0,age_60_or_more,Post sec +,kentucky
male,CA,1,age_18-29,High school or less,california
male,WA,0,age_30-44,Some post sec,washington
female,CA,1,age_30-44,Post sec +,california
male,KY,1,age_60_or_more,Post sec +,kentucky
male,PA,0,age_45-59,Some post sec,pennsylvania
male,PA,0,age_60_or_more,Post sec +,pennsylvania
male,FL,0,age_60_or_more,Post sec +,florida
male,MA,0,age_18-29,Some post sec,massachusetts
male,MA,0,age_30-44,Post sec +,massachusetts
female,PA,0,age_30-44,High school or less,pennsylvania
female,CA,1,age_30-44,Grad degree,california
male,NE,0,age_45-59,Post sec +,nebraska
male,TN,0,age_45-59,High school or less,tennessee
male,NY,0,age_30-44,Some post sec,new york
male,FL,0,age_60_or_more,Post sec +,florida
male,AZ,1,age_60_or_more,Post sec +,arizona
male,TX,0,age_45-59,Some post sec,texas
male,SC,0,age_30-44,Post sec +,south carolina
male,FL,0,age_30-44,Post sec +,florida
male,TX,0,age_30-44,Post sec +,texas
female,KS,0,age_45-59,Some post sec,kansas
male,MA,1,age_18-29,Post sec +,massachusetts
male,TN,0,age_30-44,High school or less,tennessee
male,LA,0,age_30-44,Some post sec,louisiana
female,NY,1,age_60_or_more,Post sec +,new york
male,AZ,0,age_18-29,High school or less,arizona
female,IL,1,age_60_or_more,Some post sec,illinois
female,AR,0,age_18-29,High school or less,arkansas
female,OH,0,age_30-44,High school or less,ohio
female,CA,1,age_30-44,Post sec +,california
male,VA,1,age_60_or_more,Some post sec,virginia
female,OR,1,age_30-44,Grad degree,oregon
female,WV,1,age_60_or_more,Grad degree,west virginia
male,NM,0,age_30-44,Grad degree,new mexico
male,CO,0,age_45-59,Some post sec,colorado
female,OH,0,age_45-59,Post sec +,ohio
female,TX,0,age_30-44,Post sec +,texas
female,CA,0,age_60_or_more,Some post sec,california
male,NV,0,age_60_or_more,Post sec +,nevada
male,AZ,1,age_60_or_more,Post sec +,arizona
female,CA,1,age_45-59,Post sec +,california
female,AL,0,age_60_or_more,Grad degree,alabama
female,GA,1,age_45-59,Post sec +,georgia
female,OH,1,age_45-59,High school or less,ohio
male,AL,0,age_60_or_more,Post sec +,alabama
female,NJ,1,age_60_or_more,Some post sec,new jersey
male,NY,0,age_60_or_more,Some post sec,new york
female,MA,1,age_60_or_more,Post sec +,massachusetts
male,OH,0,age_45-59,Some post sec,ohio
male,NJ,0,age_45-59,Some post sec,new jersey
female,VA,0,age_18-29,High school or less,virginia
male,PA,1,age_60_or_more,Some post sec,pennsylvania
male,SC,0,age_60_or_more,Grad degree,south carolina
female,OH,1,age_45-59,Post sec +,ohio
male,CA,1,age_60_or_more,High school or less,california
female,AZ,0,age_45-59,Post sec +,arizona
male,CA,1,age_30-44,High school or less,california
female,GA,1,age_18-29,Post sec +,georgia
male,CT,1,age_60_or_more,Post sec +,connecticut
female,IL,0,age_45-59,High school or less,illinois
male,NC,1,age_60_or_more,Some post sec,north carolina
female,NV,1,age_30-44,High school or less,nevada
female,IN,1,age_30-44,Post sec +,indiana
female,MA,0,age_30-44,Post sec +,massachusetts
female,VT,1,age_45-59,Post sec +,vermont
male,CA,0,age_30-44,Post sec +,california
male,OR,1,age_60_or_more,Post sec +,oregon
female,OH,1,age_60_or_more,Some post sec,ohio
female,MN,0,age_60_or_more,Post sec +,minnesota
male,MI,0,age_18-29,High school or less,michigan
female,IN,0,age_18-29,Post sec +,indiana
female,IN,0,age_45-59,High school or less,indiana
female,AL,0,age_60_or_more,High school or less,alabama
female,FL,0,age_60_or_more,Some post sec,florida
male,FL,0,age_30-44,Grad degree,florida
male,NY,1,age_45-59,Grad degree,new york
female,TN,0,age_30-44,Some post sec,tennessee
female,WI,1,age_30-44,Post sec +,wisconsin
female,CT,1,age_60_or_more,Grad degree,connecticut
female,NJ,1,age_30-44,Post sec +,new jersey
female,NC,0,age_60_or_more,Some post sec,north carolina
female,CA,1,age_60_or_more,Some post sec,california
female,IN,1,age_45-59,Post sec +,indiana
male,FL,1,age_60_or_more,High school or less,florida
female,NC,1,age_60_or_more,Post sec +,north carolina
female,MO,0,age_30-44,Post sec +,missouri
female,IN,0,age_60_or_more,Post sec +,indiana
female,OH,1,age_45-59,High school or less,ohio
female,CA,0,age_18-29,Grad degree,california
female,PA,0,age_45-59,High school or less,pennsylvania
female,NY,0,age_30-44,Grad degree,new york
female,NV,0,age_30-44,Some post sec,nevada
male,GA,1,age_45-59,Post sec +,georgia
female,NC,1,age_45-59,Grad degree,north carolina
female,GA,1,age_18-29,Post sec +,georgia
female,TX,1,age_30-44,Post sec +,texas
female,FL,0,age_60_or_more,Grad degree,florida
female,GA,1,age_18-29,Some post sec,georgia
female,AK,0,age_30-44,Some post sec,alaska
female,VA,1,age_45-59,Post sec +,virginia
male,OH,0,age_18-29,Some post sec,ohio
female,PA,0,age_60_or_more,Some post sec,pennsylvania
