Component,Range,Requirement
Results,0 - 'Poor or not done';<br> 2 - 'Many issues';<br> 4 - 'Some issues';<br> 6 - 'Acceptable';<br> 8 - 'Impressive';<br> 10 - 'Exceptional',"Results will likely require summary statistics, tables, graphs, images, and possibly statistical analysis or maps. There should also be text associated with all these aspects. Show the reader the results by plotting them where possible. Talk about them. Explain them. That said, this section should strictly relay results. Regression tables must not contain stars. Use modelsummary to include a table and graph of the estimates."
Discussion,0 - 'Poor or not done';<br> 2 - 'Many issues';<br> 4 - 'Some issues';<br> 6 - 'Acceptable';<br> 8 - 'Impressive';<br> 10 - 'Exceptional',Some questions that a good discussion would cover include (each of these would be a sub-section of something like half a page to a page): What is done in this paper? What is something that we learn about the world? What is another thing that we learn about the world? What are some weaknesses of what was done? What is left to learn or how should we proceed in the future?
Prose,0 - 'Poor or not done';<br> 2 - 'Many issues';<br> 4 - 'Acceptable';<br> 6 - 'Exceptional',"All aspects of submission should be free of noticeable typos, spelling mistakes, and be grammatically correct. Prose should be coherent, concise, clear, and mature. Remove unnecessary words. Do not use the following words/phrases: 'actionable insights', 'address/es/ing a/that/the/this gap', 'advanced', 'all-encompassing', 'apt', 'backdrop', 'beg/s the question', 'bridge/s a/that/the/this gap', 'clear gap', 'compelling', 'comprehensive', 'critical', 'crucial', 'data driven', 'data-driven', 'delve/s', 'drastic', 'drive/s forward', 'elucidate/ing', 'embark/s', 'exploration', 'fill/s a/that/the/this gap', 'fresh perspective/s', 'hidden factor/s', 'immense', 'imperative', 'indispensable', 'insight/s', 'insight/s from', 'interrogate', 'intricate', 'intriguing', 'invaluable', 'key driver/s', 'key insight/s', 'kind of', 'leverage', 'meticulous/ly', 'multifaceted', 'novel', 'nuance', 'offer/s/ing crucial insight', 'pivotal', 'plummeted', 'profound', 'rapidly', 'reveals', 'shed/s light', 'shocking', 'soared', 'unparalleled', 'unveiling', 'valuable', 'wanna'."
Cross-references,0 - 'Poor or not done';<br> 1 - 'Yes',"All figures, tables, and equations, should be numbered, and referred to in the text using cross-references. The telegraphing paragraph in the introduction should cross reference the rest of the paper."
Captions,0 - 'Poor or not done';<br> 1 - 'Acceptable';<br> 2 - 'Excellent',"All figures and tables have detailed and meaningful captions. They should be sufficiently detailed so as to make the main point of the figure/table clear even without the accompanying text. Do not say 'Histogram of...' or whatever else the figure type is."
Graphs and tables,0 - 'Poor or not done';<br> 1 - 'Some issues';<br> 2 - 'Acceptable';<br> 3 - 'Impressive';<br> 4 - 'Exceptional',"Graphs and tables must be included in the paper and should be to well-formatted, clear, and digestible. Graphs should be made using ggplot2 and tables should be made using tinytable. They should serve a clear purpose and be fully self-contained. Graphs and tables should be appropriately sized, colored, and labelled. Variable names should not be used as labels. Tables should have an appropriate number of decimal places and use comma separators for thousands. Don't use boxplots, but if you must then you must overlay the actual data."
Pollster review,0 - 'Poor or not done';<br> 2 - 'Many issues';<br> 4 - 'Some issues';<br> 6 - 'Acceptable';<br> 8 - 'Impressive';<br> 10 - 'Exceptional',"The evaluation provides a thorough understanding of how something goes from being a person's opinion to part of a result for this pollster. Provide a thorough overview and evaluation of the pollster's methodology, and sampling approach, highlighting both its strengths and limitations. Use this section to demonstrate knowledge of surveys and sampling and link your evaluation to the literature. Be precise and scientific--your review should not sound like an ad for the pollster."
Idealized methodology,0 - 'Poor or not done';<br> 2 - 'Many issues';<br> 4 - 'Some issues';<br> 6 - 'Acceptable';<br> 8 - 'Impressive';<br> 10 - 'Exceptional',"The proposed methodology is well-thought through, realistic and would achieve the goals.  Use this section to demonstrate knowledge of surveys and sampling and link your evaluation to the literature and simulation."
Idealized survey,0 - 'Poor or not done';<br> 1 - 'Some issues';<br> 2 - 'Acceptable';<br> 3 - 'Impressive';<br> 4 - 'Exceptional',"The survey should have an introductory section and include the details of a contact person. The survey questions should be well constructed and appropriate to the task. The questions should have an appropriate ordering. A final section should thank the respondent. Question type should be varied and appropriate. Use this section to demonstrate knowledge of surveys."
"Surveys, sampling, and observational data",0 - 'Poor or not done';<br> 2 - 'Many issues';<br> 4 - 'Some issues';<br> 6 - 'Acceptable';<br> 8 - 'Impressive';<br> 10 - 'Exceptional',"Please include an appendix where you focus on some aspect of surveys, sampling or observational data, related to your paper. This should be an in-depth exploration, akin to the "idealized methodology/survey/pollster methodology" sections of Paper 2. Some aspect of this is likely covered in the Measurement sub-section of your Data section, but this would be much more detailed, and might include aspects like simulation and linkages to the literature, among other aspects."
Referencing,0 - 'Poor or not done';<br> 3 - 'One minor issue';<br> 4 - 'Perfect',"All data, software, literature, and any other relevant material, should be cited in-text and included in a properly formatted reference list made using BibTeX. A few lines of code from Stack Overflow or similar, would be acknowledged just with a comment in the script immediately preceding the use of the code rather than here. But larger chunks of code should be fully acknowledged with an in-text citation and appear in the reference list. Check in-text citations and that you have not accidentally used (@my_cite) when you needed [@my_cite]. R packages and all other aspects should be correctly capitalized, and name should be correct e.g. use double braces appropriately in the BibTeX file."
Commits,0 - 'Poor or not done';<br> 2 - 'Done',"There are at least a handful of different commits, and they have meaningful commit messages."
Sketches,0 - 'Poor or not done';<br> 2 - 'Done',"Sketches are included in a labelled folder of the repo, appropriate, and of high-quality."
Simulation,0 - 'Poor or not done';<br> 1 - 'Some issues';<br> 2 - 'Acceptable';<br> 3 - 'Impressive';<br> 4 - 'Exceptional',"The script is clearly commented and structured. All variables are appropriately simulated in a sophisticated way including appropriate interaction between simulated variables."
Tests,0 - 'Poor or not done';<br> 2 - 'Acceptable';<br> 3 - 'Impressive';<br> 4 - 'Exceptional',"High-quality extensive suites of tests are written for the both the simulated and actual datasets. These suites must be in separate scripts. The suite should be extensive and put together in a sophisticated way using packages like testthat, validate, pointblank, or great expectations."
Parquet,0 - 'No'; 1 - 'Yes',"The analysis dataset is saved as a parquet file. (Note that the raw data should be saved in whatever format it came.)"
Reproducible workflow,0 - 'Poor or not done';<br> 1 - 'Some issues';<br> 2 - 'Acceptable';<br> 3 - 'Impressive';<br> 4 - 'Exceptional',"Use an organized repo with a detailed README and an R project. Thoroughly document code and include a preamble, comments, nice structure, and style code with styler or lintr. Use seeds appropriately. Avoid leaving install.packages() in the code unless handled sophisticatedly. Exclude unnecessary files from the repo; avoid hard-coded paths and setwd(). Use base pipe not magrittr pipe. Comment on and close all GitHub issues. Deal with all branches."
Datasheet,0 - 'Poor or not done';<br> 2 - 'Many issues';<br> 4 - 'Some issues';<br> 6 - 'Acceptable';<br> 8 - 'Impressive';<br> 10 - 'Exceptional',"A thorough datasheet for the dataset that was constructed is included."
Enhancements,0 - 'Poor or not done';<br> 1 - 'Some issues';<br> 2 - 'Acceptable';<br> 3 - 'Impressive';<br> 4 - 'Exceptional',You should pick at least one of the following and include it to enhance your submission: 1) a datasheet for the dataset; 2) a model card for the model; 3) a Shiny application; 4) an R package; or 5) an API for the model. If you would like to include an enhancement not on this list please email the instructor with your idea.
Miscellaneous,"0 - 'None';<br> 1 - 'Notable';<br> 2 - 'Remarkable';<br> 3 - 'Exceptional'",There are always students that excel in a way that is not anticipated in the rubric. This item accounts for that.
